model,T,K_over_S,K,price
classical_heston,0.25,0.7,70.0,30.61595610235073
classical_heston,0.25,0.8,80.0,20.75479059538583
classical_heston,0.25,0.9,90.0,11.59280712821759
classical_heston,0.25,1.0,100.0,4.846391671900061
classical_heston,0.25,1.1,110.00000000000001,1.444085380092928
classical_heston,0.25,1.2,120.0,0.3082589829778798
classical_heston,0.25,1.3,130.0,0.047364633895244285
classical_heston,0.5,0.7,70.0,31.20187608774837
classical_heston,0.5,0.8,80.0,21.80877463905152
classical_heston,0.5,0.9,90.0,13.617013942768953
classical_heston,0.5,1.0,100.0,7.483825558185723
classical_heston,0.5,1.1,110.00000000000001,3.623532550620942
classical_heston,0.5,1.2,120.0,1.567357062492494
classical_heston,0.5,1.3,130.0,0.6192006439761025
classical_heston,1.0,0.7,70.0,32.94849387713772
classical_heston,1.0,0.8,80.0,24.642534313523413
classical_heston,1.0,0.9,90.0,17.606926679556214
classical_heston,1.0,1.0,100.0,12.064630464454623
classical_heston,1.0,1.1,110.00000000000001,7.968251697826875
classical_heston,1.0,1.2,120.0,5.091686365968865
classical_heston,1.0,1.3,130.0,3.1582645112455796
rough_heston,0.25,0.7,70.0,30.621331972108614
rough_heston,0.25,0.8,80.0,20.804894434957156
rough_heston,0.25,0.9,90.0,11.813380047161843
rough_heston,0.25,1.0,100.0,5.200157799318853
rough_heston,0.25,1.1,110.00000000000001,1.7034011824376603
rough_heston,0.25,1.2,120.0,0.4319177883916572
rough_heston,0.25,1.3,130.0,0.08438149222013845
rough_heston,0.5,0.7,70.0,31.29406759643672
rough_heston,0.5,0.8,80.0,22.052412158161903
rough_heston,0.5,0.9,90.0,14.097793375450467
rough_heston,0.5,1.0,100.0,8.12706837145129
rough_heston,0.5,1.1,110.00000000000001,4.233003590118389
rough_heston,0.5,1.2,120.0,2.0158332158163432
rough_heston,0.5,1.3,130.0,0.8873210251939134
rough_heston,1.0,0.7,70.0,33.05737147765706
rough_heston,1.0,0.8,80.0,24.94710197671426
rough_heston,1.0,0.9,90.0,18.101418250639433
rough_heston,1.0,1.0,100.0,12.666859788515616
rough_heston,1.0,1.1,110.00000000000001,8.588007556410906
rough_heston,1.0,1.2,120.0,5.669072888734869
rough_heston,1.0,1.3,130.0,3.653129261704475
our_model,0.25,0.7,70.0,30.392243163447166
our_model,0.25,0.8,80.0,20.590739912946752
our_model,0.25,0.9,90.0,11.633775445980485
our_model,0.25,1.0,100.0,5.102545973073532
our_model,0.25,1.1,110.00000000000001,1.69729391094877
our_model,0.25,1.2,120.0,0.44410863342847456
our_model,0.25,1.3,130.0,0.0944830544898377
our_model,0.5,0.7,70.0,31.132935455268267
our_model,0.5,0.8,80.0,21.90726217997958
our_model,0.5,0.9,90.0,13.965156560727614
our_model,0.5,1.0,100.0,7.993395332240343
our_model,0.5,1.1,110.00000000000001,4.128900879210004
our_model,0.5,1.2,120.0,1.9558048156119918
our_model,0.5,1.3,130.0,0.8653861235820617
our_model,1.0,0.7,70.0,32.98143987345843
our_model,1.0,0.8,80.0,24.869381979145704
our_model,1.0,0.9,90.0,18.024208163187584
our_model,1.0,1.0,100.0,12.59206219238619
our_model,1.0,1.1,110.00000000000001,8.527863620418477
our_model,1.0,1.2,120.0,5.618733137949691
our_model,1.0,1.3,130.0,3.6273783754051894
